,Token,Reading,Dict. form,POS,Line,Song ID,Pitch accent
209,わたし,ワタシ,わたし,"('代名詞', '*', '*', '*', '*', '*')",13,10,0
210,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",13,10,1
211,捨て,ステ,捨てる,"('動詞', '一般', '*', '*', '下一段-タ行', '連用形-一般')",13,10,0
212,た,タ,た,"('助動詞', '*', '*', '*', '助動詞-タ', '終止形-一般')",13,10,1
213,じんと,ジント,じんと,"('副詞', '*', '*', '*', '*', '*')",14,10,0
214,お,オ,お,"('接頭辞', '*', '*', '*', '*', '*')",14,10,1
215,酒心,シュシン,酒心,"('名詞', '普通名詞', '一般', '*', '*', '*')",14,10,0
216,に,ニ,に,"('助詞', '格助詞', '*', '*', '*', '*')",14,10,1
217,燃え,モエ,燃える,"('動詞', '一般', '*', '*', '下一段-ア行', '連用形-一般')",14,10,0
218,さ,サ,する,"('動詞', '非自立可能', '*', '*', 'サ行変格', '未然形-サ')",14,10,1
219,て,テ,て,"('接続詞', '*', '*', '*', '*', '*')",14,10,1
220,夢,ユメ,夢,"('名詞', '普通名詞', '一般', '*', '*', '*')",15,10,"1,0"
221,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",15,10,"0,1"
222,追い,オイ,追う,"('動詞', '一般', '*', '*', '五段-ワア行', '連用形-一般')",15,10,1
223,ましょ,マショ,ます,"('助動詞', '*', '*', '*', '助動詞-マス', '意志推量形')",15,10,10
224,もう,モウ,もう,"('副詞', '*', '*', '*', '*', '*')",15,10,"1,0"
225,一度,イチド,一度,"('名詞', '普通名詞', '副詞可能', '*', '*', '*')",15,10,3
226,無理,ムリ,無理,"('名詞', '普通名詞', '形状詞可能', '*', '*', '*')",1,11,1
227,し,シ,き,"('助動詞', '*', '*', '*', '文語助動詞-キ', '連体形-一般')",1,11,0
228,て,テ,て,"('接続詞', '*', '*', '*', '*', '*')",1,11,1
229,飲ん,ノン,飲む,"('動詞', '一般', '*', '*', '五段-マ行', '連用形-撥音便')",1,11,1
230,じゃ,ジャ,じゃ,"('接続詞', '*', '*', '*', '*', '*')",1,11,1
